,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado,posicao_m,posicao_v,aproveitamento_5r_v,aproveitamento_5r_m,aproveitamento_10r_v,aproveitamento_10r_m
0,brasileiro-a,2018,6,21-05,Internacional,Chapecoense,3,0,MANDANTE,10.0,16.0,0.5,0.17,0.5,0.17
1,brasileiro-a,2018,6,20-05,Fluminense,Atlético-PR,2,0,MANDANTE,5.0,17.0,0.17,0.58,0.17,0.58
2,brasileiro-a,2018,6,20-05,América-MG,Botafogo,1,0,MANDANTE,6.0,11.0,0.58,0.33,0.58,0.33
3,brasileiro-a,2018,6,20-05,Paraná,Grêmio,0,0,EMPATE,20.0,8.0,0.42,0.08,0.42,0.08
4,brasileiro-a,2018,6,20-05,São Paulo,Santos,1,0,MANDANTE,7.0,15.0,0.25,0.33,0.25,0.33
5,brasileiro-a,2018,6,20-05,Sport Recife,Corinthians,1,1,EMPATE,12.0,3.0,0.58,0.58,0.58,0.58
6,brasileiro-a,2018,6,20-05,Vitória,Ceará,2,1,MANDANTE,14.0,19.0,0.25,0.25,0.25,0.25
7,brasileiro-a,2018,6,19-05,Palmeiras,Bahia,3,0,MANDANTE,4.0,18.0,0.42,0.58,0.42,0.58
8,brasileiro-a,2018,6,19-05,Flamengo,Vasco,1,1,EMPATE,2.0,9.0,0.33,0.75,0.33,0.75
9,brasileiro-a,2018,6,19-05,Atlético-MG,Cruzeiro,1,0,MANDANTE,1.0,13.0,0.58,0.83,0.58,0.83
10,brasileiro-a,2018,5,14-05,Botafogo,Fluminense,2,1,MANDANTE,6.0,9.0,0.78,0.44,0.78,0.44
11,brasileiro-a,2018,5,14-05,Ceará,América-MG,2,2,EMPATE,19.0,10.0,0.33,0.22,0.33,0.22
12,brasileiro-a,2018,5,13-05,Santos,Paraná,3,1,MANDANTE,13.0,20.0,0.11,0.0,0.11,0.0
13,brasileiro-a,2018,5,13-05,Atlético-PR,Atlético-MG,1,2,VISITANTE,15.0,3.0,0.78,0.22,0.78,0.22
14,brasileiro-a,2018,5,13-05,Bahia,São Paulo,2,2,EMPATE,17.0,12.0,0.33,0.44,0.33,0.44
15,brasileiro-a,2018,5,13-05,Chapecoense,Flamengo,3,2,MANDANTE,14.0,1.0,1.0,0.33,1.0,0.33
16,brasileiro-a,2018,5,13-05,Corinthians,Palmeiras,1,0,MANDANTE,2.0,5.0,0.78,0.44,0.78,0.44
17,brasileiro-a,2018,5,13-05,Vasco,Vitória,2,3,VISITANTE,7.0,18.0,0.0,0.44,0.0,0.44
18,brasileiro-a,2018,5,13-05,Cruzeiro,Sport Recife,2,0,MANDANTE,8.0,11.0,0.78,0.44,0.78,0.44
19,brasileiro-a,2018,5,12-05,Grêmio,Internacional,0,0,EMPATE,4.0,16.0,0.11,0.44,0.11,0.44
20,brasileiro-a,2018,4,07-05,Chapecoense,Paraná,1,1,EMPATE,17.0,20.0,0.0,0.33,0.0,0.33
21,brasileiro-a,2018,4,06-05,Grêmio,Santos,5,1,MANDANTE,5.0,16.0,0.0,0.17,0.0,0.17
22,brasileiro-a,2018,4,06-05,Sport Recife,Bahia,2,0,MANDANTE,8.0,15.0,0.67,0.67,0.67,0.67
23,brasileiro-a,2018,4,06-05,Atlético-PR,Palmeiras,1,3,VISITANTE,11.0,2.0,0.67,0.33,0.67,0.33
24,brasileiro-a,2018,4,06-05,Cruzeiro,Botafogo,1,0,MANDANTE,14.0,12.0,0.67,0.17,0.67,0.17
25,brasileiro-a,2018,4,06-05,Flamengo,Internacional,2,0,MANDANTE,1.0,13.0,0.17,1.0,0.17,1.0
26,brasileiro-a,2018,4,06-05,Vitória,Fluminense,1,2,VISITANTE,19.0,7.0,0.67,0.0,0.67,0.0
27,brasileiro-a,2018,4,06-05,Corinthians,Ceará,1,1,EMPATE,3.0,18.0,0.17,0.5,0.17,0.5
28,brasileiro-a,2018,4,05-05,São Paulo,Atlético-MG,2,2,EMPATE,10.0,6.0,1.0,0.33,1.0,0.33
29,brasileiro-a,2018,4,05-05,Vasco,América-MG,4,1,MANDANTE,4.0,9.0,0.5,0.17,0.5,0.17
